id,day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,area_accident_occured,lanes_or_medians,road_alignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,age_band_of_casualty,casualty_severity,cause_of_accident,accident_severity,hour
11,Saturday,18-30,Male,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,Changing lane to the left,Serious Injury,14
12,Saturday,31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,18-30,3,No priority to pedestrian,Serious Injury,14
13,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,Office areas,Double carriageway (median),Escarpments,No junction,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,na,na,No distancing,Slight Injury,17
14,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,na,na,No priority to vehicle,Slight Injury,17
15,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Escarpments,No junction,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,18-30,3,No distancing,Serious Injury,17
16,Monday,18-30,Female,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,No distancing,Serious Injury,22
17,Monday,18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,Moving Backward,Slight Injury,22
18,Monday,18-30,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,Changing lane to the right,Serious Injury,22
19,Monday,18-30,Male,Junior high school,Employee,2-5yr,NaN,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,na,na,No priority to pedestrian,Slight Injury,22
20,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Under 18,3,Moving Backward,Serious Injury,8
21,Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,Getting off the vehicle improperly,Slight Injury,8
22,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,18-30,3,Overtaking,Serious Injury,15
23,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Recreational areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Other,2,1,Getting off,31-50,3,Overloading,Serious Injury,12
24,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Rollover,2,1,Reversing,18-30,3,Changing lane to the right,Serious Injury,12
25,Wednesday,18-30,Male,NaN,Unknown,NaN,NaN,NaN,Residential areas,other,NaN,Crossing,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,na,na,Improper parking,Slight Injury,18
26,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Residential areas,other,Tangent road with rolling terrain,Crossing,Dry,Daylight,Normal,Rollover,2,3,Going straight,31-50,3,Other,Slight Injury,18
27,Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,NaN,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Under 18,3,Changing lane to the left,Slight Injury,18
28,Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,Changing lane to the right,Slight Injury,14
29,Tuesday,Over 51,Unknown,NaN,Unknown,NaN,NaN,NaN,Unknown,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No priority to pedestrian,Slight Injury,12
30,Tuesday,18-30,Male,NaN,Employee,1-2yr,Lorry (41?100Q),Owner,Industrial areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,18-30,2,Overspeed,Slight Injury,12
31,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,Changing lane to the left,Slight Injury,15
32,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,18-30,3,No priority to vehicle,Slight Injury,18
33,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Rollover,2,1,Reversing,18-30,3,Changing lane to the right,Slight Injury,15
34,Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Automobile,Governmental,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,No distancing,Slight Injury,15
35,Saturday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,18-30,3,No priority to pedestrian,Slight Injury,13
36,Saturday,18-30,Male,High school,Employee,5-10yr,Automobile,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Under 18,3,No distancing,Slight Injury,13
37,Friday,18-30,Male,Above high school,Employee,1-2yr,Taxi,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,No priority to vehicle,Slight Injury,20
38,Friday,Over 51,Male,Junior high school,Employee,Below 1yr,NaN,Owner,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,18-30,2,Other,Slight Injury,20
39,Friday,Over 51,Male,NaN,Unknown,NaN,NaN,Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,Driving carelessly,Slight Injury,20
40,Sunday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Outside rural areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,18-30,3,Changing lane to the left,Slight Injury,16
41,Sunday,31-50,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury,16
42,Sunday,31-50,Male,NaN,Unknown,NaN,NaN,Owner,Church areas,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,31-50,3,Changing lane to the left,Slight Injury,21
43,Sunday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,18-30,3,No priority to vehicle,Slight Injury,21
44,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,No distancing,Slight Injury,9
45,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Under 18,3,Changing lane to the right,Slight Injury,9
46,Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Serious Injury,14
47,Friday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving at high speed,Slight Injury,10
48,Friday,31-50,Male,Unknown,Employee,Below 1yr,Ridden horse,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,No distancing,Slight Injury,10
49,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,18
50,Monday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,2,Changing lane to the left,Slight Injury,18
51,Tuesday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Getting off the vehicle improperly,Slight Injury,19
52,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Other,Slight Injury,19
53,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,31-50,3,Other,Slight Injury,11
54,Saturday,31-50,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,31-50,3,No distancing,Slight Injury,11
55,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,No priority to vehicle,Slight Injury,11
56,Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,18-30,3,Overtaking,Slight Injury,11
57,Thursday,18-30,Male,High school,Employee,5-10yr,Public (12 seats),Organization,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Rollover,2,1,Going straight,31-50,3,No priority to pedestrian,Slight Injury,13
58,Thursday,31-50,Male,Junior high school,Employee,5-10yr,NaN,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury,13
59,Tuesday,18-30,Unknown,Junior high school,Employee,Above 10yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,12
60,Tuesday,Over 51,Male,Junior high school,NaN,1-2yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Driving carelessly,Slight Injury,12
61,Friday,18-30,Male,Junior high school,Employee,2-5yr,NaN,Owner,Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,12
62,Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Overtaking,Slight Injury,12
63,Sunday,31-50,Male,NaN,NaN,NaN,NaN,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Under 18,3,Other,Slight Injury,16
64,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Organization,Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving to the left,Slight Injury,16
65,Monday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Driving at high speed,Slight Injury,18
66,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,31-50,3,Unknown,Slight Injury,18
67,Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,NaN,Organization,Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,13
68,Thursday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,18-30,3,No distancing,Slight Injury,13
69,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Other,Slight Injury,13
70,Wednesday,31-50,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,No priority to vehicle,Slight Injury,13
71,Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,18-30,3,Changing lane to the left,Slight Injury,18
72,Monday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury,18
73,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,18-30,3,Overtaking,Slight Injury,11
74,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Over 51,3,Driving carelessly,Slight Injury,11
75,Thursday,31-50,Male,Junior high school,NaN,Below 1yr,Bajaj,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,No priority to vehicle,Slight Injury,11
76,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,31-50,3,No priority to pedestrian,Slight Injury,11
77,Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,31-50,3,Changing lane to the right,Serious Injury,15
78,Wednesday,Over 51,Unknown,NaN,Unknown,NaN,NaN,NaN,Office areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Driving carelessly,Slight Injury,15
79,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,NaN,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,20
80,Sunday,Under 18,Male,High school,Owner,2-5yr,Automobile,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,20
81,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,31-50,3,Changing lane to the left,Serious Injury,18
82,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,18-30,2,Overturning,Serious Injury,18
83,Sunday,Over 51,Male,Above high school,Owner,2-5yr,Pick up upto 10Q,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,Driving carelessly,Slight Injury,15
84,Sunday,Over 51,Male,NaN,Unknown,NaN,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Under 18,3,No distancing,Slight Injury,15
85,Wednesday,Over 51,Unknown,Elementary school,Owner,2-5yr,Stationwagen,Owner,Office areas,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,18-30,3,Driving carelessly,Slight Injury,23
86,Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Changing lane to the left,Slight Injury,23
87,Wednesday,31-50,Male,NaN,Owner,5-10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,na,na,No priority to vehicle,Slight Injury,23
88,Monday,18-30,Unknown,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Serious Injury,7
89,Monday,18-30,Male,Junior high school,Employee,2-5yr,NaN,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Serious Injury,7
90,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,18-30,3,Moving Backward,Fatal injury,15
91,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),NaN,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Moving Backward,Fatal injury,15
92,Monday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,No distancing,Slight Injury,15
93,Monday,18-30,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,No distancing,Slight Injury,15
94,Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,18-30,3,No distancing,Slight Injury,9
95,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury,9
96,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Driving carelessly,Slight Injury,17
97,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Changing lane to the right,Slight Injury,17
98,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,18-30,3,Changing lane to the left,Slight Injury,17
99,Sunday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,31-50,2,Driving carelessly,Slight Injury,20
100,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Church areas,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Driving carelessly,Slight Injury,20
101,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,31-50,3,No distancing,Slight Injury,21
102,Thursday,31-50,Male,Elementary school,Employee,5-10yr,NaN,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Other,Slight Injury,21
103,Monday,18-30,Male,NaN,Employee,NaN,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,19
104,Monday,18-30,Male,NaN,Employee,2-5yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,19
105,Monday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,NaN,NaN,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,18-30,2,No distancing,Slight Injury,16
106,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Governmental,Residential areas,Two-way (divided with broken lines road marking),NaN,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,No distancing,Slight Injury,16
